Watershed,River Mile,Site ID,Site Name,Sample Date,Entero. Count,Day of Rain (in.),Prior Day,2 Days Prior,3 Days Prior,Weather Station,Lab,Sample Type,Sample Order,Fluorescence,Comments ,Dilution ,QA Qualifier,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/1/13 9:04,63,0.65,0,0,0.01,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/8/13 8:52,3130,0.46,0,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/15/13 7:56,1372,0,0,0.85,0.05,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/22/13 10:40,108,0.25,0,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/29/13 8:35,>24196,0,0.43,0.01,0.04,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,9/5/13 8:20,512,0,0,0.03,0.05,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,9/12/13 8:25,171,1.6,0,0.01,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,9/19/13 8:20,460,0,0,0,0.03,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,9/26/13 8:30,173,0,0,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,10/3/13 9:56,84,0,0,0,0,KNYC,TRP,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,5/29/14 9:00,122,0,0,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/5/14 12:00,11199,0.87,0,0.12,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/12/14 12:15,96,0.07,0.02,0,1.6,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/19/14 13:45,75,0.15,0,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/2/14 12:20,85,0.96,0,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/10/14 14:05,794,0,0.09,0.39,0.04,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/17/14 9:05,585,0,0,1.3,0.46,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/24/14 8:50,959,0,0.19,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/7/14 11:15,121,0,0,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/14/14 9:40,3076,0,0.53,0.19,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,9/18/14 17:15,41,0,0,0.37,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,9/25/14 17:15,763,0.32,0,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,10/2/14 17:30,98,0,0.02,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,5/21/15 15:10,<10,0,0,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,5/28/15 13:45,199,0,0.08,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/4/15 0:00,20,0,0,0.37,0.72,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/11/15 11:35,52,0,0,0.01,0.06,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/18/15 11:45,84,0,0,0.27,0.57,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,6/25/15 14:49,<10,0,0,0.02,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/1/15 15:40,10462,0.39,0.04,0,0.29,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/9/15 12:37,310,0.3,0,0.12,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/16/15 12:10,<10,0,0.12,0.42,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/23/15 15:00,10,0,0.32,0,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,7/30/15 13:05,10,1.95,0,0,0.36,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/6/15 14:45,<10,0,0,0.43,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
Bronx,1.05,BR-1.05,BR-SWS-16 / Hunts Point Riverside Park beach & dock,8/13/15 14:00,20,0,0,1.17,0,KNYC,McGillis,Watershed,Main Stem,,,,,,,,,
